Id;Name;Description;Variable name;Variable name definition URI;Thematic uncertainty threshold;Thematic uncertainty goal;Thematic uncertainty unit of measure;Update frequency threshold;Update frequency threshold unit of measure;Update frequency goal;Update frequency goal unit of measure;Even distribution;Coordinated measure;Horizontal resolution threshold;Horizontal resolution goal;Horizontal resolution unit of measure;Vertical resolution threshold;Vertical resolution goal;Vertical resolution unit of measure;Partial matching dataset;Reason partial matching;Need id;Variable classes-new;Timeliness threshold;Timeliness threshold unit of measure;Timeliness goal;Timeliness goal unit of measure;Data accesses;Completely matching dataset;Citizen science acceptance
155;Litterfall chemistry;Measurements of critical elements that may affect nutritional status of trees;Nitrate;https://gcos.wmo.int/site/global-climate-observing-system-gcos/essential-climate-variables/nutrients#Nitrate;0.1;0.02;mg/L;1;month;2;week;Every 100 m in forest;Other cations and anions;1;1;km;2;2;m;;;158;Biodiversity (EBV);1;year;1;month;Cloud Service, View and Download Service (OGC), API;Own elaboration;
157;Urban PM;;PM10;https://www.eea.europa.eu/help/glossary/eea-glossary/pm10;10;5;ug/m3;24;hour;1;hour;;;1;1;km;;;;;;112;Atmosphere (ECV);1;year;1;month;;;
158;PM on high spatiotemporal resolution;;PM10;https://www.eea.europa.eu/help/glossary/eea-glossary/pm10;3;1;ug/m3;1;hour;2;minute;;;10;1;km;;;;EEA reference data;;114;Atmosphere (ECV);1;month;1;hour;Download Service (OGC);;
159;Discharge;Water discharge;Water discharge;https://www.geoglows.org/pages/working-group-3/#Runoff/Streamflow/riverdischarge;;;m3/s;1;day;1;hour;Every time the river divides.;Water elevation data;;;;;;;Yes (https://events.ecmwf.int/event/222/contributions/2311/attachments/1261/2387/Hydrological-WS-Sanchez-Lozano-Development-of-a-bias-correction-method.pdf));In occasions, the coordinates of the station does not follow the exact river course.;161;Water (EWV);2;year;1;year;API;;No
160;Citizen science data;Visual assessment of wildfires;" Inflamable material";https://gcos.wmo.int/en/essential-climate-variables;;;;1;month;;;No, it isn't;Precipitation, Temperature;100;;m;;;;;;35;Terrestrial (ECV);1;month;;;Cloud Service;;
161;Phenology;Observed planting, flowering, maturity and harvest of a specific crop;Reference Crop Calendars;https://agvariables.org/eav/reference-crop-calendars;5;1;day;1;year;;;;;;;;;;;;;88;Agriculture (EAV);;;;;View and Download Service (OGC);;
162;Fine particulate matter concentrations (e.g. PM2.5 and PM10);Measurements of the mass of particulate matter (dust in ambient air) using special filters and Beta-ray absorption method.;PM10;https://www.eea.europa.eu/help/glossary/eea-glossary/pm10;0.5;;Âµg/m3;24;hour;;;Yes it is;Weather parameters, meteorological stations;15;;km;;;;Yes, Bari city (southern Italy);Uncertainties values associated to the measurement (available upon request);98;Atmosphere (ECV);;;;;View and Download Service (OGC);;
164;Field boundaries with crop type and date;;Crop Type Area Estimate;https://agvariables.org/eav/crop-type-area-estimate;2;;m;45;day;;;Yes it is;Farming practices, soil properties, nutrient management;2;;m;;;;;Does not exist at scale;106;Agriculture (EAV);1;week;;;Download Service (OGC);;
165;Field boundaries with crop type and date;;Crop Type Masks;https://agvariables.org/eav/crop-type-masks;2;;m;45;day;;;Yes it is;Farming practices, soil properties, nutrient management;2;;m;;;;;Does not exist at scale;106;Agriculture (EAV);1;week;;;Download Service (OGC);;
166;"Habitat quality in the Iberian Peninsula ";Integration of habitat fragmentation, biodiversity, singularity and abundance information;Ecosystem functioning;https://geobon.org/ebvs/what-are-ebvs/#EcosystemFunctioning;10;5;% of global errors;10;year;5;year;Depending on landscape variability, so sampling could be not regular. More samples in complex areas and less samples in homogeneous areas.;Biodiversity indices of diffferent taxa, soil proprierties, structure indicators;30;10;m;;;;The dataset exists partially (habitat maps exist but quality habitat maps not). Also they have low time frequency;Low time frequency;122;Biodiversity (EBV);1;year;6;month;Download link;No;
167;Presence / absence of mangrove;The presence or absence of mangrove vegetation at points;Ecosystem distribution;https://geobon.org/ebvs/what-are-ebvs/#EcosystemDistribution;5;0;%;99;year;1;year;Random distribution within the area of interest;"soil carbon content; canopy cover; mangrove tree species; mangrove associated species; tree diameter; biomass;";30;10;m;;;;GBIF;Needs some filtering;162;Biodiversity (EBV);;;;;Download Service (OGC), API;;Yes
168;"Tree Height Data ";"Field measured field height ";"Tree Height ";https://geobon.org/ebvs/what-are-ebvs/;2;1;m;5;year;1;year;Every 100m within forested areas;"Estimates of tree cover in % and tree species information would complement these height measurements ";1000;100;m;1;1;m;https://www.itreetools.org/;"Provides tree height information in urban areas - but is not available in rural or forested areas ";163;Biodiversity (EBV);5;year;1;year;Cloud Service, View and Download Service (OGC);No;"Yes as long as they were verified - "
