scope;key;field;eng;cat;spa;revisat
DialogQualityTemporalQuality;distancePrevious;label;Distance to the previous data;DistÖncia respecte de les dades anteriors;Distancia respecto de los datos anteriores;s
DialogUncertainty;distance;text;Distance:;DistÖncia:;Distancia:;s
chrome;done;button;Done;Fet;Hecho;s
DialogFormatConsistency;dot;label;Dot;Punt;Punto;s
clarification;downloadCsvCompleted;text;Download CSV completed.;S'ha completat la baixada de CSV.;Se ha completado la descarga de CSV.;si
clarification;downloadCsvwCompleted;text;Download CSVW completed.;S'ha completat la baixada del CSVW.;Se ha completado la descarga del CSVW.;si
clarification;downloadDbfCompleted;text;Download DBF completed.;S'ha completat la baixada de la DBF.;Se ha completado la descarga de la DBF.;si
clarification;downloadGeojsonCompleted;text;Download GeoJSON completed.;S'ha completat la baixada del GeoJSON.;Se ha completado la descarga del GeoJSON.;s
clarification;downloadGeojsonSchemaCompleted;text;Download GeoJSON schema completed.;S'ha completat la baixada de l'esquema GeoJSON.;Se ha completado la descarga del esquema GeoJSON.;si
clarification;downloadGpkgCompleted;text;Download GPKG completed.;S'ha completat la baixada de GPKG.;Se ha completado la descarga de GPKG.;si
clarification;downloadJsonCompleted;text;Download JSON completed.;S'ha completat la baixada del JSON.;Se ha completado la descarga del JSON.;si
clarification;downloadJsonldCompleted;text;Download JSONLD completed.;S'ha completat la baixada de JSONLD.;Se ha completado la descarga de JSONLD.;s
clarification;downloadSchemaCompleted;text;Download TAPIS schema completed.;S'ha completat la baixada de l'esquema TAPIS.;Se ha completado la descarga del esquema TAPIS.;si
chrome;draw;button;Draw;Dibuixa;Dibujar;s
alert;drawRadarFirst;text;Draw the radar chart first.;Dibuixeu primer el grÖfic de radar.;Dibuje primero el gr†fico de radar.;si
DialogUploadObservations;eachRowFoi;label;Each row represents a feature of interest with several observed properties;Cada fila representa una caracter°stica d'interäs amb diverses propietats observades;Cada fila representa una caracter°stica de interÇs con varias propiedades observadas;s
DialogEDC;title;title;Eclipse DataSpace Connector;Conector Eclipse DataSpace;Conector Eclipse DataSpace;s
clarification;edcCatalogCompleted;text;EDC catalog request completed.;S'ha completat la sol˙licitud del catÖleg EDC.;Se ha completado la solicitud del cat†logo EDC.;s
clarification;edcContractFailedAfterN;text;EDC contract negociation failed after {0} iterations;La negociaci¢ del contracte EDC ha fallat desprÇs de {0} iteracions;La negociaci¢n del contrato EDC ha fallado despuÇs de {0} iteraciones;s
clarification;edcContractFailedDot;text;EDC contract negociation failed.;Ha fallat la negociaci¢ del contracte EDC.;Ha fallado la negociaci¢n del contrato EDC.;s
clarification;edcContractFailedDetail;text;EDC contract negociation failed. <br>name: {0} message: {1} at: {2} text: {3};Ha fallat la negociaci¢ del contracte EDC. <br>name: {0} missatge: {1} a: {2} text: {3};Ha fallado la negociaci¢n del contrato EDC. <br>name: {0} mensaje: {1} en: {2} texto: {3};s
clarification;edcContractFailed;text;EDC contract negociation failed: {0};Ha fallat la negociaci¢ del contracte EDC: {0};Ha fallado la negociaci¢n del contrato EDC: {0};s
clarification;edcContractInitiated;text;EDC contract negociation iniciated...;S'ha iniciat la negociaci¢ del contracte EDC...;Se ha iniciado la negociaci¢n del contrato EDC...;s
clarification;edcContractSuccessful;text;EDC contract negociation successful.;La negociaci¢ del contracte EDC ha estat satisfactïria.;La negociaci¢n del contrato EDC se ha realizado correctamente.;s
clarification;edcGettingUrlFailed;text;EDC getting URL for transfer request failed{0};Ha fallat l'obtenci¢ de l'URL EDC per a la sol˙licitud de transferäncia{0};Ha fallado la obtenci¢n de la URL EDC para la solicitud de transferencia{0};s
clarification;edcRawTransferCompleted;text;"EDC Raw data transfer completed. It it is not automatically transformed into a table, use the relevant ""format"" tool to do so.";S'ha completat la transferäncia de dades sense processar d'EDC. Si no es transforma automÖticament en una taula, useu l'eina de ÆformatØ corresponent per fer-ho.;Se ha completado la transferencia de datos sin procesar de EDC. Si no se transforma autom†ticamente en una tabla, use la herramienta de ÆformatoØ correspondiente para hacerlo.;s
clarification;edcTransferFailedAfterN;text;EDC transfer request failed after {0} iterations;La sol˙licitud de transferäncia EDC ha fallat desprÇs de {0} iteracions;La solicitud de transferencia EDC ha fallado despuÇs de {0} iteraciones;s
clarification;edcTransferFailedDetail;text;EDC transfer request failed. <br>name: {0} message: {1} at: {2} text: {3};Ha fallat la sol˙licitud de transferäncia EDC. <br>name: {0} missatge: {1} a: {2} text: {3};Ha fallado la solicitud de transferencia EDC. <br>name: {0} mensaje: {1} en: {2} texto: {3};s
clarification;edcTransferFailedDetailsAre;text;EDC transfer request failed. Details are: {0};Ha fallat la sol˙licitud de transferäncia EDC. Els detalls s¢n: {0};Ha fallado la solicitud de transferencia EDC. Los detalles son: {0};s
clarification;edcTransferFailed;text;EDC transfer request failed{0};Ha fallat la sol˙licitud de transferäncia EDC{0};Ha fallado la solicitud de transferencia EDC{0};s
clarification;edcTransferStartConfirmed;text;EDC transfer request start confirmed.;S'ha confirmat l'inici de la sol˙licitud de transferäncia EDC.;Se ha confirmado el inicio de la solicitud de transferencia EDC.;s
clarification;edcTransferRequested;text;EDC transfer requested...;S'ha sol˙licitat la transferäncia EDC...;Se ha solicitado la transferencia EDC...;s
clarification;edcUrlObtained;text;EDC URL for transfer obtained.;S'ha obtingut l'URL EDC per a la transferäncia.;Se ha obtenido la URL EDC para la transferencia.;s
DialogGUF;editPrevious;button;Edit previous feedback;Edita els comentaris anteriors;Editar los comentarios anteriores;s
TableOperations;EditRecord;description;Edit record;Edita registres;Editar registros;si
DialogFormatConsistency;email;label;Email;Correu electrïnic;Correo electr¢nico;s
DialogCreateColumns;emptyColumn;label;Empty column;Columna buida;Columna vac°a;s
DialogImportCSV;encoding;label;Encoding:;Codificaci¢:;Codificaci¢n:;s
alert;endBeforeStart;text;End date can't be before start date;La data final no pot ser anterior a la data inicial;La fecha final no puede ser anterior a la fecha inicial;si
DialogUploadIC;end;label;End:;Final:;Fin:;s
alert;enterAttributeColumnName;text;Enter a name for the attribute column.;Introduãu un nom per a la columna d'atributs.;Introduzca un nombre para la columna de atributos.;si
alert;enterOneCharEachInterval;text;Enter one character in each interval field.;Introduãu una lletra en cada camp d'interval.;Introduzca una letra en cada campo de intervalo.;si
alert;enterOneDigit;text;Enter one digit.;Introduãu una xifra.;Introduzca una cifra.;si
alert;enterOneLetter;text;Enter one letter.;Introduãu una lletra.;Introduzca una letra.;si
clarification;errorCreatingEntity;text;Error creating entity. <br>name: {0} message: {1} at: {2} text: {3};Error en crear l'entitat. <br>name: {0} missatge: {1} a: {2} text: {3};Error al crear la entidad. <br>name: {0} mensaje: {1} en: {2} texto: {3};s
clarification;errorDeleting;text;Error deleting;Error en suprimir;Error al eliminar;s
clarification;errorDownloadingCsv;text;Error downloading CSV. <br>name: {0} message: {1} at: {2} text: {3};Error en baixar el CSV. <br>nom: {0} missatge: {1} a: {2} text: {3};Error al descargar el CSV. <br>nombre: {0} mensaje: {1} en: {2} texto: {3};si
clarification;errorDownloadingCsvw;text;Error downloading CSVW. <br>name: {0} message: {1} at: {2} text: {3};Error en baixar CSVW. <br>nom: {0} missatge: {1} a: {2} text: {3};Error al descargar CSVW. <br>nombre: {0} mensaje: {1} en: {2} texto: {3};si
clarification;errorDownloadingDbf;text;Error downloading DBF. <br>name: {0} message: {1} at: {2} text: {3};Error en baixar la DBF. <br>nom: {0} missatge: {1} a: {2} text: {3};Error al descargar la DBF. <br>nombre: {0} mensaje: {1} en: {2} texto: {3};si
clarification;errorDownloadingGeojsonSchema;text;Error downloading GeoJSON Schema. <br>name: {0} message: {1} at: {2} text: {3};Error en baixar l'esquema GeoJSON. <br>nom: {0} missatge: {1} a: {2} text: {3};Error al descargar el esquema GeoJSON. <br>nombre: {0} mensaje: {1} en: {2} texto: {3};si
clarification;errorDownloadingGeojson;text;Error downloading GeoJSON. <br>name: {0} message: {1} at: {2} text: {3};Error en baixar el GeoJSON. <br>nom: {0} missatge: {1} a: {2} text: {3};Error al descargar el GeoJSON. <br>nombre: {0} mensaje: {1} en: {2} texto: {3};s
clarification;errorDownloadingGpkg;text;Error downloading GPKG. <br>name: {0} message: {1} at: {2} text: {3};Error en baixar GPKG. <br>nom: {0} missatge: {1} a: {2} text: {3};Error al descargar GPKG. <br>nombre: {0} mensaje: {1} en: {2} texto: {3};si
clarification;errorDownloadingGpkgResponse;text;Error downloading GPKG. <br>Response: {0};Error en baixar GPKG. <br>Resposta: {0};Error al descargar GPKG. <br>Respuesta: {0};si
clarification;errorDownloadingGpkgUnexpectedType;text;Error downloading GPKG. <br>Unexpected media type: {0};Error en baixar GPKG. <br>Tipus de mitjÖ inesperat: {0};Error al descargar GPKG. <br>Tipo de medio inesperado: {0};si
clarification;errorDownloadingJson;text;Error downloading JSON;Error en baixar el JSON;Error al descargar el JSON;s
clarification;errorDownloadingJsonDetail;text;Error downloading JSON. <br>name: {0} message: {1} at: {2} text: {3};Error en baixar el JSON. <br>nom: {0} missatge: {1} a: {2} text: {3};Error al descargar el JSON. <br>nombre: {0} mensaje: {1} en: {2} texto: {3};s
clarification;errorDownloadingJsonld;text;Error downloading JSONLD. <br>name: {0} message: {1} at: {2} text: {3};Error en baixar el JSONLD. <br>nom: {0} missatge: {1} a: {2} text: {3};Error al descargar el JSONLD. <br>nombre: {0} mensaje: {1} en: {2} texto: {3};s
clarification;errorDownloadingSchema;text;Error downloading TAPIS schema '{0}';Error en baixar l'esquema TAPIS Æ{0}Ø;Error al descargar el esquema TAPIS Æ{0}Ø;si
clarification;errorDownloadingSchemaWithMsg;text;Error downloading TAPIS schema '{0}': {1};Error en baixar l'esquema TAPIS Æ{0}Ø: {1};Error al descargar el esquema TAPIS Æ{0}Ø: {1};si
clarification;errorDownloadingSchemaDetail;text;Error downloading TAPIS schema. <br>name: {0} message: {1} at: {2} text: {3};Error en baixar l'esquema TAPIS. <br>name: {0} missatge: {1} a: {2} text: {3};Error al descargar el esquema TAPIS. <br>name: {0} mensaje: {1} en: {2} texto: {3};s
clarification;errorRequestingEdc;text;Error in requesting EDC catalog. <br>name: {0} message: {1} at: {2} text: {3};Error en sol˙licitar el catÖleg EDC. <br>nom: {0} missatge: {1} a: {2} text: {3};Error al solicitar el cat†logo EDC. <br>nombre: {0} mensaje: {1} en: {2} texto: {3};s
clarification;errorRequestingS3;text;Error in requesting S3 Bucket root folder. <br>name: {0} message: {1} at: {2} text: {3};Error en sol˙licitar la carpeta arrel del contenidor S3. <br>nom: {0} missatge: {1} a: {2} text: {3};Error al solicitar la carpeta ra°z del contenedor S3. <br>nombre: {0} mensaje: {1} en: {2} texto: {3};s
clarification;errorInWallet;text;Error in wallet: {0};Error a la cartera: {0};Error en la cartera: {0};s
clarification;errorInterpreting;text;Error interpreting {0}: {1};Error en interpretar {0}: {1};Error al interpretar {0}: {1};si
clarification;errorLoadingConfig;text;Error loading 'config.json';Error en carregar Æconfig.jsonØ;Error al cargar Æconfig.jsonØ;si
clarification;errorOpeningNotInSchema;text;Error opening '{0}'. Not found in the schema;Error en obrir Æ{0}Ø. No s'ha trobat a l'esquema;Error al abrir Æ{0}Ø. No se ha encontrado en el esquema;si
clarification;errorRetrieving;text;Error retrieving {0};Error en recuperar {0};Error al recuperar {0};si
clarification;errorUpdatingEntity;text;Error updating {0} {1} updated.;Error en actualitzar {0} {1}.;Error al actualizar {0} {1}.;s
clarification;errorUpdatingMultiDatastream;text;Error updating MultiDatastream {0} updated.;Error en actualitzar MultiDatastream {0}.;Error al actualizar MultiDatastream {0}.;s
clarification;errorUploadingObs;text;Error uploading Observations to STA. <br>name: {0} message: {1} at: {2} text: {3};Error en pujar Observations a STA. <br>nom: {0} missatge: {1} a: {2} text: {3};Error al cargar Observations en STA. <br>nombre: {0} mensaje: {1} en: {2} texto: {3};s
clarification;httpErrorGeneric;text;Error: HTTP {0} URL: {1}, HTTP code: {2}, Description: {3}{4};Error: HTTP {0} URL: {1}, codi HTTP: {2}, descripci¢: {3}{4};Error: HTTP {0} URL: {1}, c¢digo HTTP: {2}, descripci¢n: {3}{4};s
STAOperations;ExpandColumnSTA;description;Expand entity;Expandeix l'entitat;Expande la entidad;si
DialogCompleteness;expectedRecords;label;Expected records:;Registres esperats:;Registros esperados:;s
DialogQualityTemporalQuality;expectedResolution;text;Expected resolution (Values with higher resolutions will be accepted, but those with lower resolutions will not):;Resoluci¢ esperada (s'acceptaran els valors amb resolucions mÇs altes, perï no els que tinguin resolucions mÇs baixes):;Resoluci¢n esperada (se aceptar†n los valores con resoluciones m†s altas, pero no los que tengan resoluciones m†s bajas):;s
DialogImportGeoJSON;externalDataFrom;label;External data from:;Dades externes de:;Datos externos de:;s
DialogGeospatialFilterRowsByDistance;foiFeature;label;FeatureOfInterest-feature;FeatureOfInterest-feature;FeatureOfInterest-feature;s
TableOperations;guf;description;Feedback;Comentaris/suggeriments;Comentarios/Sugerencias;si
DialogSaveLayer;fieldN;label;Field {0}:;Camp {0}:;Campo {0}:;s
DialogRadarPlot;fillArea;label;Fill area;Omplir l'Örea;Rellenar el †rea;s
clarification;filterApplied;text;Filter applied;S'ha aplicat el filtre;Se ha aplicado el filtro;s
STAOperations;FilterRowsSTA;description;Filter Rows;Filtra les files;Filtra las filas;si
TableOperations;FilterRowsTable;description;Filter Rows;Filtra files;Filtra filas;si
STAOperations;GeoFilterPntSTA;description;Filter Rows by Distance;Filtra les files per distÖncia;Filtrar las filas por distancia;si
STAOperations;GeoFilterPolSTA;description;Filter Rows by Polygon;Filtra les files per pol°gon;Filtrar las filas por pol°gono;si
STAOperations;FilterRowsByTime;description;Filter Rows by time;Filtra les files per temps;Filtra las filas por tiempo;si
clarification;filteringStaByPolygon;text;Filtering STA rows by polygon...;S'estan filtrant les files STA per pol°gon...;Filtrando las filas STA por pol°gono...;s
clarification;filteringStaRows;text;Filtering STA rows...;S'estan filtrant les files STA...;Filtrando las filas STA...;s
TableOperations;Replace;help;Find and replace text, numbers, or data in one column or across the whole table;Cerca i substitueix text, n£meros o dates en una columna o a tota la taula;Buscar y sustituir texto, n£meros o fechas en una columna o en toda la tabla;si
DialogCompleteness;flagBad;label;Flag the bad records (true/false);Marca els registres incorrectes (true/false);Marcar los registros incorrectos (true/false);s
DialogQualityLogicalConsistency;flagBad;label;Flag the bad records (true/false);Marca els registres incorrectes (true/false);Marcar los registros incorrectos (true/false);s
DialogQualityTemporalQuality;flagBad;label;Flag the bad records (true/false);Marca els registres incorrectes (true/false);Marcar los registros incorrectos (true/false);s
DialogQualityPositionalQuality;flagBad;label;Flag the bad records (true/false);Marca els registres incorrectes (true/false);Marcar los registros incorrectos (true/false);s
DialogQualityThematicQuality;flagBad;label;Flag the bad records (true/false);Marca els registres incorrectes (true/false);Marcar los registros incorrectos (true/false);s
DialogSaveTable;forceExtendedDbf;label;Force extended DBF;Foráa la DBF extesa;Forzar la DBF extendida;s
DialogFormatConsistency;format;title;Format;Format;Formato;s
DialogQualityTemporalQuality;format;label;Format;Format;Formato;s
dataQuality;formatConsistency;description;Format consistency;Consistäncia de format;Consistencia de formato;si
DialogFormatConsistency;title;title;Format consistency;Consistäncia de format;Consistencia de formato;s
alert;queryUrlKvpNoEquals;text;Format error in query URL '{0}', Key and value pair (KVP) '{1}' without '='.;Error de format a l'URL de consulta '{0}', el parell clau-valor (KVP) '{1}' no tÇ '='.;Error de formato en la URL de consulta '{0}', el par clave-valor (KVP) '{1}' no tiene '='.;si
DialogColumnsCalculator;formula;label;Formula:;F¢rmula:;F¢rmula:;s
DialogFilterRowsByTime;from;label;From:;Des de:;Desde:;s
DialogQualityTemporalQuality;from;label;From:;Des de:;Desde:;s
DialogQualityThematicQuality;from;label;From:;Des de:;Desde:;s
TableOperationsType;Type;singular;Generic table tool;Eina general per taula ;Herramienta general para  tabla ;si
TableOperationsType;Type;plural;Generic table tools;Eines generals per a taules;Herramientas generales para tablas;si
DialogFormatConsistency;geocentric;option;Geocentric (X, Y, Z) ? e.g. 4788300.12;Geocäntriques (X, Y, Z) ? p. ex. 4788300.12;GeocÇntricas (X, Y, Z) ? p. ej. 4788300.12;s
DialogQualityPositionalQuality;geoCoords;title;Geographic coordinates:;Coordenades geogrÖfiques:;Coordenadas geogr†ficas:;s
DialogUploadIC;geoInfo;title;Geographic information;Informaci¢ geogrÖfica;Informaci¢n geogr†fica;s
DialogAddColumnPnt;geojsonGeometry;label;GeoJSON Geometry:;Geometria GeoJSON:;Geometr°a GeoJSON:;s
DialogAddColumnBBox;geojsonGeometry;label;GeoJSON Geometry:;Geometria GeoJSON:;Geometr°a GeoJSON:;s
clarification;geojsonOnlyFeatureCollection;text;GeoJSON parse error. The only supported GeoJSONs are the ones containing a root type FeatureCollection.;Error en l'anÖlisi de GeoJSON. Els £nics GeoJSON compatibles s¢n els que contenen un tipus arrel FeatureCollection.;Error de an†lisis del GeoJSON. Los £nicos GeoJSON compatibles son los que contienen un tipo ra°z FeatureCollection.;s
clarification;geojsonParseError;text;GeoJSON parse error: {0} The file content fragment:\n{1};Error d'anÖlisi del GeoJSON: {0} Fragment del contingut del fitxer:\n{1};Error de an†lisis del GeoJSON: {0} Fragmento del contenido del archivo:\n{1};s
DialogImportGeoJSON;schemaUrl;label;GeoJSON schema URL:;URL de l'esquema GeoJSON:;URL del esquema GeoJSON:;s
DialogImportGeoJSON;geojsonSource;title;GeoJSON source;Font GeoJSON;Fuente GeoJSON;s
clarification;geolocationIs;text;Geolocation is long: {0} lat: {1};La geolocalitzaci¢ Çs longitud: {0} latitud: {1};La geolocalizaci¢n es longitud: {0} latitud: {1};s
clarification;geolocationNotSupported;text;Geolocation not supported by the web browser;El navegador web no admet la geolocalitzaci¢;El navegador web no admite la geolocalizaci¢n;s
DialogSaveLayer;geometryStar;title;Geometry*:;Geometria*:;Geometr°a*:;s
DialogSaveLayer;geometry;label;Geometry:;Geometria:;Geometr°a:;s
clarification;gpkgNoTables;text;GeoPackage database has no tables.;La base de dades GeoPackage no contÇ taules.;La base de datos GeoPackage no contiene tablas.;si
clarification;gpkgDbLoaded;text;GeoPackage database table has been loaded.;S'ha carregat la taula de la base de dades GeoPackage.;Se ha cargado la tabla de la base de datos GeoPackage.;si
clarification;gpkgParseError;text;Geopackage parse error: {0};Error en l'anÖlisi de GeoPackage: {0};Error en el an†lisis de GeoPackage: {0};si
DialogImportGPKG;source;title;Geopackage source;Font Geopackage;Fuente Geopackage;s
clarification;gpkgTableLoaded;text;GeoPackage table has been loaded.;S'ha carregat la taula GeoPackage.;Se ha cargado la tabla GeoPackage.;si
clarification;gpkgTableNoRecords;text;GeoPackage table has no records.;La taula GeoPackage no contÇ registres.;La tabla GeoPackage no contiene registros.;si
DialogDGGSCodesBbox;extent;title;Geospatial extent;Extensi¢ geoespacial;Extensi¢n geoespacial;s
DialogGUF;getFeedback;button;Get feedback;ObtÇn comentaris/suggeriments;Obtener comentarios/sugerencias;s
STAOperations;ExpandColumnSTA;help;Gets a table by adding columns resulting of the expansion of the properties of a linked entity. For example, in a Datastream add properties of ObservedProperties. Requeres to be connected to a SensorThings API or a STAplus node.;S' obtÇ una taula afegint columnes que resulten de l'expansi¢ de les propietats d'una entitat enllaáada. Per exemple, en un Datastream, afegeix les propietats d'ObservedProperties. Cal que estigui connectat a un node SensorThings API o STAplus.;Se obtiene una tabla a§adiendo columnas que resultan de la expansi¢n de las propiedades de una entidad vinculada. Por ejemplo, en un Datastream, a§ade las propiedades de ObservedProperties. Requiere estar conectado a un nodo SensorThings API o STAplus.;si
STAOperations;MergeExpandsSTA;help;Gets a table by merging the fields of two branches originated as an expansion of the same entity. For example, in a Datastream node, a branch started by expanding ObservedProperties properties and a branch started by expanding Thing properties can be merged in a single branch by connecting the two branches as inputs to this node.;S'obtÇ una taula fusionant els camps de dues branques originades com a expansi¢ de la mateixa entitat. Per exemple, en un node Datastream, una branca iniciada expandint les propietats d'ObservedProperties i una branca iniciada expandint les propietats de Thing es poden fusionar en una sola branca connectant les dues branques com a entrades d'aquest node.;Se obtiene una tabla fusionando los campos de dos ramas originadas como expansi¢n de la misma entidad. Por ejemplo, en un nodo Datastream, una rama iniciada expandiendo las propiedades de ObservedProperties y una rama iniciada expandiendo las propiedades de Thing se pueden fusionar en una sola rama conectando ambas ramas como entradas de este nodo.;si
STAOperations;RecursiveExpandSTA;help;Gets a table by selecting some columns and adding columns by expanding the properties of linked entities recursively. Needs to be connected to a SensorThings API or a STAplus node.;ObtÇ una taula seleccionant algunes columnes i afegint columnes que resulten d'expandir les propietats de les entitats enllaáades de manera recursiva. Cal que estigui connectat a un node SensorThings API o STAplus.;Se obtiene una tabla seleccionando algunas columnas y a§adiendo columnas que resultan de expandir las propiedades de las entidades vinculadas de forma recursiva. Requiere estar conectado a un nodo SensorThings API o STAplus.;si
STAOperations;SelectColumnsSTA;help;Gets a table only with columns selected. Requeres to be connected to a SensorThings API or a STAplus node.;S'obtÇ una taula nomÇs amb les columnes seleccionades. Cal que estigui connectat a un node SensorThings API o STAplus.;Se obtiene una tabla solo con las columnas seleccionadas. Requiere que estÇ conectado a un nodo SensorThings API o STAplus.;si
STAOperations;SelectRowSTA;help;Gets a table only with the selected record. Requeres to be connected to another SensorThings API or a STAplus entity. A single record is required to related entities to this one and navegate the SensorThings API or a STAplus data model.;S'obtÇ una taula nomÇs amb el registre seleccionat. Cal que estigui connectat a una altra entitat SensorThings API o STAplus. ês necessari un £nic registre per relacionar altres entitats amb aquesta i navegar pel model de dades de SensorThings API o STAplus.;Se obtiene una tabla solo con el registro seleccionado. Requiere estar conectado a otra entidad SensorThings API o STAplus. Se necesita un £nico registro para relacionar otras entidades con esta y navegar por el modelo de datos de SensorThings API o STAplus.;si
STAOperations;SelectResourceSTA;help;Gets a table only with the selected resource. Requeres to be connected to another SensorThings API or a STAplus entity. A single record is required to related entities to this one and navegate the SensorThings API or a STAplus data model.;S'obtÇ una taula nomÇs amb el recurs seleccionat. Cal que estigui connectat a una altra entitat SensorThings API o STAplus. ês necessari un £nic registre per relacionar altres entitats amb aquesta i navegar pel model de dades de SensorThings API o STAplus.;Se obtiene una tabla solo con el recurso seleccionado. Requiere estar conectado a otra entidad SensorThings API o STAplus. Se necesita un £nico registro para relacionar otras entidades con esta y navegar por el modelo de datos de SensorThings API o STAplus.;si
STAOperations;RangeSTA;help;Gets a table with a subset of the records limiting the number of records and skiping some initial records. Implements $top and $skip. Requeres to be connected to a SensorThings API or a STAplus node.;S'obtÇ una taula amb un subconjunt dels registres limitant el nombre de registres i ometent alguns registres inicials. Implementa $top i $skip. Cal que estigui connectat a un node SensorThings API o STAplus.;Se obtiene una tabla con un subconjunto de los registros limitando el n£mero de registros y omitiendo algunos registros iniciales. Implementa $top y $skip. Requiere estar conectado a un nodo SensorThings API o STAplus.;si
TableOperations;SortByTables;help;Gets a table with data sorted by a given criteria.;S'obtÇ una taula amb les dades ordenades segons un criteri determinat.;Se obtiene una tabla con los datos ordenados seg£n un criterio determinado.;si
STAOperations;SortBySTA;help;Gets a table with data sorted by a given criteria. Requeres to be connected to a SensorThings API or a STAplus node.;S'obtÇ una taula amb les dades ordenades segons un criteri determinat. Cal que estigui connectat a un node SensorThings API o STAplus.;Se obtiene una tabla con los datos ordenados seg£n un criterio determinado. Requiere estar conectado a un nodo SensorThings API o STAplus.;si
STAOperations;FilterRowsByTime;help;Gets a table with records that match with a time interval. It is possible to group them by time periods. Requeres to be connected to a SensorThings API or a STAplus node.;S'obtÇ una taula amb els registres que coincideixen amb un interval de temps determinat. ês possible agrupar-los per per°odes de temps. Cal que estigui connectat a un node SensorThings API o STAplus.;Se obtiene una tabla con los registros que coinciden con un intervalo de tiempo seleccionado. Es posible agruparlos por per°odos de tiempo. Requiere estar conectado a un nodo SensorThings API o STAplus.;si
STAOperations;GeoFilterPntSTA;help;Gets a table with the records that are closer that a given distance of a point. Requeres to be connected to a SensorThings API or a STAplus node.;S'obtÇ una taula amb els registres que es troben a una distÖncia inferior a una distÖncia donada respecte d'un punt. Cal que estigui connectat a un node SensorThings API o STAplus.;Se obtiene una tabla con los registros que se encuentran a una distancia inferior a una distancia dada respecto de un punto. Requiere estar conectado a un nodo SensorThings API o STAplus.;si
STAOperations;FilterRowsSTA;help;Gets a table with the records that match your conditions. Requires a connection to a SensorThings API or STAplus node. Double-click to open the filter dialog.;S'obtÇ una taula amb els registres que compleixen les condicions seleccionades. Requereix una connexi¢ a un node SensorThings API o STAplus. Feu doble clic per obrir el diÖleg de filtre.;Se obtiene una tabla con los registros que cumplen las condiciones seleccionadas. Requiere una conexi¢n a un nodo SensorThings API o STAplus. Haga doble clic para abrir el di†logo de filtro.;si
STAOperations;GeoFilterPolSTA;help;Gets a table with the records within a polygon. Requeres to be connected to another SensorThings API or a STAplus entity and to a table with a record that has a geometry (polygon).;S'obtÇ una taula amb els registres continguts dins d'un pol°gon. Cal que estigui connectat a una altra entitat SensorThings API o STAplus i a una taula amb un registre que tingui una geometria (pol°gon).;Se obtiene una tabla con los registros contenidos dentro de un pol°gono. Requiere estar conectado a otra entidad SensorThings API o STAplus y a una tabla con un registro que tenga una geometr°a (pol°gono).;si
clarification;gettingNumberOfItems;text;Getting number of items;S'estÖ obtenint el nombre d'elements;Se est† obteniendo el n£mero de elementos;s
clarification;gettingLastObservation;text;Getting the last observation...;S'estÖ obtenint l'£ltima Observation...;Se est† obteniendo la £ltima Observation...;s
DialogScatterPlot;graphicConfig;title;Graphic configuration;Configuraci¢ del grÖfic;Configuraci¢n del gr†fico;s
DialogScatterPlot;graphicTitle;label;Graphic title:;T°tol del grÖfic:;T°tulo del gr†fico:;s
DialogRadarPlot;graphicTitle;label;Graphic title:;T°tol del grÖfic:;T°tulo del gr†fico:;s
TableOperations;GroupBy;description;Group by;Agrupa per;Agrupar por;si
dataQuality;uncertainty;help;Group values by time and space and calculate its uncertainties;Agrupa els valors per temps i espai i en calcula les incerteses;Agrupa los valores por tiempo y espacio y calcula sus incertidumbres;si
DialogGroupBy;groupByDateRounding;title;GroupBy date rounding:;Arrodoniment de la data per agrupar:;Redondeo de la fecha para agrupar:;s
DialogGroupBy;groupBy;title;GroupBy:;Agrupa per:;Agrupar por:;s
DialogQualityTemporalQuality;groupedByColumn;label;Grouped by column;Agrupat per columna;Agrupado por columna;s
DialogQualityPositionalQuality;groupedByColumn;label;Grouped by column;Agrupat per columna;Agrupado por columna;s
DialogQualityThematicQuality;groupedByColumn;label;Grouped by column;Agrupat per columna;Agrupado por columna;s
DialogQualityPositionalQuality;groupingColumn;label;Grouping column:;Columna d'agrupament:;Columna de agrupaci¢n:;s
DialogQualityThematicQuality;groupingColumn;label;Grouping column:;Columna d'agrupament:;Columna de agrupaci¢n:;s
DialogQualityTemporalQuality;groupingMode;title;Grouping mode;Mode d'agrupament;Modo de agrupaci¢n;s
DialogQualityPositionalQuality;groupingMode;title;Grouping mode;Mode d'agrupament;Modo de agrupaci¢n;s
DialogQualityThematicQuality;groupingMode;title;Grouping mode;Mode d'agrupament;Modo de agrupaci¢n;s
DialogTransposeTable;headerColumn;label;Header column:;Columna de capáalera:;Columna de cabecera:;s
DialogFilterRowsByTime;hour;option;Hour;Hora;Hora;s
DialogUncertainty;hours;label;Hours;Hores;Horas;s
DialogQualityTemporalQuality;hours;label;Hours;Hores;Horas;s
DialogCreateUpdateDeleteEntity_numberOfMultiDatastream;howManyFields;label;How many fields do you want to introduce in the multidatastream?;Quants camps voleu introduir al MultiDatastream?;®Cu†ntos campos quiere introducir en el MultiDatastream?;s
clarification;httpResponseCode;text;HTTP Response Code: {0} reading {1}: {2};Codi de resposta HTTP: {0} en llegir {1}: {2};C¢digo de respuesta HTTP: {0} al leer {1}: {2};si
DialogFormatConsistency;hyphen;label;Hyphen;Guionet;Guion;s
